ID,Question,Polite,Ramsay
0044,What is Reinforcement Learning?,"An area of ML where agents learn to make decisions by receiving rewards or penalties.","Touch the stove, get burned! Get the prize, do it again! It’s basic survival!"
0045,What is the F1-Score?,"The harmonic mean of precision and recall, providing a balance between the two.","Precision is fine, recall is lovely, but I need the full picture! Use the F1!"
0046,Why do we use 1x1 convolutions?,"They are used for dimensionality reduction and adding non-linearity between layers.","It’s a bottleneck! It cleans up the channels without ruining the space! Genius!"
0047,What is Batch Normalization?,"A technique to normalize layer inputs to speed up training and provide stability.","It’s total chaos in there! Organize your layers before they choke each other!"
0048,What is the difference between Parameters and Hyperparameters?,"Parameters are learned from data; hyperparameters are set by the user before training.","One is the recipe, the other is the ingredients! Get the settings right first!"
0049,Why is class imbalance a problem?,"The model may become biased toward the majority class and ignore the minority.","You’re only cooking for the loudest person in the room! What about everyone else?!"
0050,What is an Ensemble Method?,"Combining multiple models to produce better predictive performance than a single model.","One chef is a disaster, but a whole team might actually produce something edible!"
0051,What is Layer Normalization?,"It normalizes the inputs across features for each individual sample, stabilizing training especially in transformers.","You’re normalizing across the whole bloody batch like it’s a soup! Each sample deserves its own dignity—use layer norm!"
0052,What are residual connections (skip connections)?,"They allow gradients to flow directly through the network via identity mappings, easing training of very deep networks.","Without residuals your deep network is just a giant blocked pipe! Add the skip or watch it choke to death!"
0053,Why do we use learning rate schedulers?,"They reduce the learning rate over time to help the model converge more precisely.","You can’t sprint forever! Slow down the bloody pace or you’ll overshoot the finish line like an idiot!"
0054,What is label smoothing?,"A regularization technique that softens one-hot labels to prevent overconfident predictions.","Stop letting your model scream '100% certain!' like a know-it-all! Smooth those labels before it embarrasses itself!"
0055,What is the purpose of the GELU activation?,"It is a smooth approximation of ReLU that performs well in transformers (used in BERT, GPT, etc.).","ReLU is fine, but GELU is refined! Stop using the cheap stuff when you can have something with actual class!"
0056,What is knowledge distillation?,"Training a smaller student model to mimic a larger, well-performing teacher model.","You spent a fortune on a Michelin-star chef and now you want a food truck? Fine—make the truck COPY the master!"
0057,What is adversarial training?,"Training models with adversarial examples to improve robustness against malicious perturbations.","Your model is a delicate snowflake! Throw some proper attacks at it or hackers will eat it alive!"
0058,Why is weight decay commonly used?,"It adds an L2 penalty to discourage large weights and improves generalization (often implemented via optimizers).","Your weights are getting fat and lazy! Put them on a strict weight-decay diet before they ruin everything!"
0059,What is the exploding gradient problem?,"Gradients become extremely large during backpropagation, causing unstable training.","The gradients have gone completely mental! They’re exploding like a pressure cooker with no valve!"
0060,What is curriculum learning?,"Training starts with easier examples and gradually introduces more difficult ones.","You don’t throw a beginner into the deep fryer on day one! Start simple, then turn up the heat!"
0061,What are Vision Transformers (ViT)?,"Models that treat images as sequences of patches and process them with transformer architecture.","You’re still using 2012 CNN tricks on 2025 problems? Chop the image into patches and let attention do the cooking!"
0062,What is self-supervised learning?,"Learning useful representations from the data itself without manual labels (e.g., contrastive learning, masked prediction).","No labels? No problem! Make the data teach itself—stop begging for annotations like a child!"
0063,What is the role of positional encodings in transformers?,"They inject information about the order/position of tokens since self-attention is permutation-invariant.","You forgot to tell the model that order matters? Brilliant! Now it thinks 'dog bites man' is the same as 'man bites dog'!"
0064,Why do we use mixed precision training?,"It uses lower precision (float16) to speed up training and reduce memory usage while preserving accuracy.","You’re still training in full fat float32 like it’s 2010? Switch to mixed precision or keep wasting everyone’s time and money!"
0065,What is a diffusion model?,"A generative model that learns to reverse a gradual noising process to generate data from noise.","Start with pure garbage and slowly un-garbage it. That’s diffusion—magic that actually works!"
0066,What is few-shot learning?,"Training or adapting models to perform well on new tasks with very few examples.","You’ve got three examples and you want miracles? Welcome to few-shot—grow up and stop crying for more data!"
0067,Why do we sometimes use gradient clipping?,"It limits gradient values during backpropagation to prevent exploding gradients.","Your gradients are trying to escape the kitchen! Clip them before they destroy the entire restaurant!"
0068,What is the purpose of the projection heads in contrastive learning?,"They map representations to a space optimized for contrastive loss while keeping the backbone general.","You don’t dump raw ingredients straight on the plate! The backbone learns, the projection head plates it properly—stop serving half-cooked representations!"
0069,What are graph neural networks (GNNs)?,"Neural networks designed to operate on graph-structured data, propagating information across nodes.","Your data has relationships, not just rows! Stop flattening graphs like a lazy cook—use a proper GNN!"
0070,What is the difference between online and offline reinforcement learning?,"Online learns while interacting with the environment; offline learns only from a fixed dataset.","Online is cooking live on stage. Offline is trying to become a chef using only someone else’s leftovers—good luck!"
0071,What is quantization-aware training?,"Training with simulated quantization effects so the model performs well after being quantized.","You want to serve fine dining on paper plates? Then train with the paper plates from the beginning!"
0072,What is a variational autoencoder (VAE)?,"A generative autoencoder that learns a probabilistic latent space with a KL divergence term.","It’s an autoencoder with RULES! Wander too far in latent space and it slaps you with KL—discipline in the kitchen!"
0073,Why do we sometimes freeze layers during fine-tuning?,"To preserve useful pre-trained features and only adapt higher layers to the new task.","You don’t rebuild the entire foundation every time you change the paint! Freeze the base layers, you maniac!"
0074,What is multi-task learning?,"Training a model on multiple related tasks simultaneously to improve performance and generalization.","One dish is boring! Make it cook five things at once and watch it become a better chef overall."
0075,What is the core idea behind LoRA (Low-Rank Adaptation)?,"Instead of fine-tuning all parameters, we add and train small low-rank update matrices, drastically reducing memory and compute.","You want to fine-tune a 70B monster? Don’t touch the whole thing! Just add a tiny elegant adjustment—boom, LoRA!"
0076,What is the purpose of the Adam optimizer?,"It combines momentum and adaptive learning rates for each parameter to converge quickly and reliably.","Gradient descent is a one-speed tractor! Adam is a turbocharged race car with adaptive gears—stop plodding and use it!"
0077,What is the difference between supervised and unsupervised learning?,"Supervised uses labeled data to learn a mapping; unsupervised finds patterns in data without explicit labels.","Are you being told what to do or figuring it out yourself? One's a guided tour, the other's getting lost in the jungle—know which one you're in!"
0078,What is batch gradient descent?,"It uses the entire dataset to compute the gradient for one update, which is accurate but computationally heavy.","Waiting for the entire dataset every step? That’s not training, that’s paralysis! Accurate, yes—but painfully slow!"
0079,Why is the sigmoid function used for binary classification output?,"It squashes outputs between 0 and 1, providing a clear probabilistic interpretation.","You need a simple yes or no! Sigmoid gives you a clean probability—not some vague, uninterpretable number!"
0080,What is the purpose of the encoder in a transformer?,"It processes the input sequence to create a contextualized representation for each token.","It's the listener! The encoder pays attention to the whole story so it knows what's actually being said!"
0081,What is a hyperparameter search?,"Systematically testing different hyperparameter combinations to find the best model configuration.","You're just guessing the oven temperature! Do a proper search or you'll burn everything by accident!"
0082,What is the role of the decoder in a transformer?,"It generates the output sequence auto-regressively, using the encoder's output and previous tokens.","It's the storyteller! It takes the meaning and produces words, one by one, without forgetting the plot!"
0083,Why is the tanh activation function used?,"It outputs values between -1 and 1, centering data and sometimes helping with gradient flow in recurrent nets.","Zero-centered is the golden rule! Tanh gives you symmetry—ReLU is a lopsided mess for some tasks!"
0084,What is a feature map in a CNN?,"The output of a convolutional layer, highlighting detected features like edges or textures at different spatial locations.","It's a heatmap of what the network sees! Edges here, blobs there—without it, you're staring at raw pixels like a novice!"
0085,What is the purpose of masking in transformers?,"It prevents the model from attending to future tokens during training, preserving the auto-regressive property.","You can't cheat on a test by reading the answers! Masking forces the model to predict the next word honestly."
0086,What is the chain rule in calculus?,"It allows us to compute derivatives of composite functions, which is foundational for backpropagation.","This is the glue that holds learning together! Without the chain rule, backprop is a broken ladder—useless!"
0087,Why do we use one-hot encoding for categorical variables?,"It represents each category as a binary vector, making it compatible with ML algorithms that expect numerical input.","Categories aren't numbers! One-hot gives them a proper, unambiguous seat at the table without implying fake order."
0088,What is a confusion matrix?,"A table that shows true vs. predicted labels, allowing detailed analysis of classification performance.","Accuracy is a lie! The confusion matrix shows you exactly where your model is a bloody mess—look at it!"
0089,What is the purpose of the KL divergence loss in VAEs?,"It regularizes the latent space by pushing it toward a prior distribution (like a standard normal).","Your latent space is a wild jungle! KL divergence tames it, makes it orderly and usable—stop ignoring it!"
0090,Why is the ReLU function not differentiable at zero?,"Its derivative is undefined at zero because the slope changes abruptly, but in practice we use a subgradient.","It's a tiny kink! In practice, we just pick a side and move on—don't let perfect math ruin a perfectly good function!"
0091,What is the difference between machine learning and deep learning?,"ML is a broad field of algorithms that learn from data; DL is a specific subset using multi-layered neural networks.","Not every meal is a 10-course gourmet feast! Deep learning is the fancy part—know the whole menu first."
0092,What is the purpose of the validation loss curve?,"It tracks model performance on unseen data during training, helping to detect overfitting.","The training loss is just the chef tasting his own soup! The validation curve tells you if the customers will like it."
0093,Why do we use padding in convolutional neural networks?,"It controls the spatial size of the output feature maps and preserves information at the borders.","Without padding, your image shrinks with every layer like a cheap sweater! Control the size, you amateur!"
0094,What is a false positive?,"When the model incorrectly predicts the positive class (e.g., says 'cat' when it's actually a dog).","It's a mistaken identity! You called the police on an innocent bystander—now fix your model!"
0095,What is the purpose of the bottleneck layer in an autoencoder?,"It forces the network to learn a compressed, efficient representation of the input data.","Crush it down to the essentials! If it can’t rebuild from a tiny bottleneck, then it learned absolutely nothing!"
0096,What is the difference between classification and regression?,"Classification predicts discrete labels; regression predicts continuous numerical values.","Is it a category or a number? One is picking a door, the other is guessing a temperature—don't mix them up!"
0097,Why is the learning rate often reduced on a plateau?,"It allows the optimizer to make finer adjustments when progress stalls, helping to find a better minimum.","You’re stuck and still stomping around like a lunatic! Slow down, take smaller steps, and find the bloody minimum!"
0098,What is a token in NLP?,"A basic unit of text, which could be a word, subword, or character, used as input to a language model.","You can't feed raw text to a model! Chop it into tokens—the ingredients your algorithm actually cooks with."
0099,What is the purpose of the bias-variance decomposition?,"It breaks down prediction error into bias (underfitting) and variance (overfitting) to diagnose model issues.","Your error is a puzzle! Bias is being consistently wrong; variance is being randomly wrong—which one is killing you?"
0100,What is a dendrogram?,"A tree diagram showing hierarchical relationships, often used in clustering to visualize data grouping.","It's a family tree for your data! Stop staring at random points and see how they're actually related."
